,Artiste1,Artiste2
0,Clark Terry,Johnny Griffin
1,Clark Terry,Quincy Jones
2,Clark Terry,Coleman Hawkins
3,Clark Terry,Lucky Thompson
4,Clark Terry,Neal Hefti
5,Clark Terry,Billie Holiday
6,Clark Terry,Snooky Young
7,Clark Terry,Ella Fitzgerald
8,Clark Terry,Lester Young
9,Clark Terry,Ben Webster
10,Clark Terry,John Levy (musician)
11,Clark Terry,Red Saunders (musician)
12,Clark Terry,Johnny Pate
13,Clark Terry,Joe Williams (jazz singer)
14,Clark Terry,Victor Sproles
15,Clark Terry,Budd Johnson
16,Clark Terry,Lionel Hampton
17,Clark Terry,"http://dbpedia.org/resource/Willie_""The_Lion""_Smith"
18,Clark Terry,Johnny Long (musician)
19,Clark Terry,Charlie Parker
20,Clark Terry,Charlie Barnet
21,Clark Terry,South Park Mexican
22,Clark Terry,Nick Cooper
23,Clark Terry,Freddie Green
24,Clark Terry,Billy Eckstine
25,Clark Terry,Earl Hines
26,Clark Terry,Lena Horne
27,Clark Terry,Melba Liston
28,Clark Terry,Gerald Wilson
29,Clark Terry,Ivie Anderson
30,Clark Terry,Roy Hargrove
31,Clark Terry,Buddy Bolden
32,Clark Terry,Andrew Kirk
33,Clark Terry,Sarah Vaughan
34,Clark Terry,Count Basie
35,Clark Terry,Nicholas Payton
36,Clark Terry,Sonny Cohn
37,Clark Terry,John Coltrane
38,Clark Terry,Buddy Tate
39,Clark Terry,Jo Jones
40,Clark Terry,Jimmy Jones (pianist)
41,Clark Terry,Duke Ellington
42,Lionel Hampton,Jabbo Smith
43,Lionel Hampton,Quincy Jones
44,Lionel Hampton,Coleman Hawkins
45,Lionel Hampton,Lester Young
46,Lionel Hampton,Lee Young
47,Lionel Hampton,Joe Williams (jazz singer)
48,Lionel Hampton,Ernie Royal
49,Lionel Hampton,Dexter Gordon
50,Lionel Hampton,Al Grey
51,Lionel Hampton,Frank Foster (musician)
52,Lionel Hampton,Illinois Jacquet
53,Lionel Hampton,Milt Buckner
54,Lionel Hampton,Louis Armstrong
55,Lionel Hampton,Lena Horne
56,Lionel Hampton,Teddy Wilson
57,Lionel Hampton,Stevie Wonder
58,Lionel Hampton,Johnny Hodges
59,Lionel Hampton,Dewey Redman
60,Lionel Hampton,Benny Goodman
61,Lionel Hampton,Glenn Miller
62,Lionel Hampton,Count Basie
63,Lionel Hampton,Junior Mance
64,Lionel Hampton,Buddy Tate
65,Lionel Hampton,Dinah Washington
66,Lionel Hampton,Harry Edison
67,Lionel Hampton,Duke Ellington
68,Marian McPartland,Art Tatum
69,Marian McPartland,Coleman Hawkins
70,Marian McPartland,Eddie Condon
71,Marian McPartland,Sidney Bechet
72,Marian McPartland,Wynton Marsalis
73,Marian McPartland,Roy Eldridge
74,Marian McPartland,Béla Fleck
75,Marian McPartland,Tommy Flanagan
76,Marian McPartland,Barbara Carroll
77,Marian McPartland,Billy Hart
78,Marian McPartland,Joe Williams (jazz singer)
79,Marian McPartland,Joe Morello
80,Marian McPartland,Oscar Peterson
81,Marian McPartland,Dave Brubeck
82,Marian McPartland,Ron Carter
83,Marian McPartland,Gene Krupa
84,Marian McPartland,Woody Herman
85,Marian McPartland,Grady Tate
86,Marian McPartland,Mary Lou Williams
87,Marian McPartland,Hazel Scott
88,Marian McPartland,Toshiko Akiyoshi
89,Marian McPartland,Louis Armstrong
90,Marian McPartland,Benny Carter
91,Marian McPartland,Stevie Wonder
92,Marian McPartland,Billy Strayhorn
93,Marian McPartland,Jimmy Dorsey
94,Marian McPartland,Benny Goodman
95,Marian McPartland,Michael Moore (saxophonist and clarinetist)
96,Marian McPartland,Bill Evans
97,Marian McPartland,Count Basie
98,Marian McPartland,Billy Taylor (jazz bassist)
99,Marian McPartland,Sidney De Paris
100,Marian McPartland,Trudy Pitts
101,Marian McPartland,Cecil Taylor
102,Marian McPartland,Duke Ellington
103,Slide Hampton,Johnny Griffin
104,Slide Hampton,Benny Powell
105,Slide Hampton,Quincy Jones
106,Slide Hampton,Bud Powell
107,Slide Hampton,Stan Getz
108,Slide Hampton,Joe Henderson
109,Slide Hampton,Jack Teagarden
110,Slide Hampton,Lee Morgan
111,Slide Hampton,Paquito D'Rivera
112,Slide Hampton,Benny Bailey
113,Slide Hampton,Freddie Hubbard
114,Slide Hampton,Dennis Mackrel
115,Slide Hampton,Wynton Kelly
116,Slide Hampton,Gil Evans
117,Slide Hampton,Carmell Jones
118,Slide Hampton,Don Sebesky
119,Slide Hampton,Dexter Gordon
120,Slide Hampton,Dave Brubeck
121,Slide Hampton,Dizzy Gillespie
122,Slide Hampton,Bill Watrous
123,Slide Hampton,Benny Golson
124,Slide Hampton,Leo Wright
125,Slide Hampton,Budd Johnson
126,Slide Hampton,Lionel Hampton
127,Slide Hampton,David Baker (composer)
128,Slide Hampton,Charlie Parker
129,Slide Hampton,Jimmy Owens (musician)
130,Slide Hampton,Kenny Clarke
131,Slide Hampton,Wes Montgomery
132,Slide Hampton,Woody Herman
133,Slide Hampton,Tommy Dorsey
134,Slide Hampton,Thelonious Monk
135,Slide Hampton,Trummy Young
136,Slide Hampton,Art Blakey
137,Slide Hampton,J. J. Johnson
138,Slide Hampton,Willie Maiden
139,Slide Hampton,Stevie Wonder
140,Slide Hampton,Melba Liston
141,Slide Hampton,Billy Strayhorn
142,Slide Hampton,Nat Adderley
143,Slide Hampton,Benny Goodman
144,Slide Hampton,Glenn Miller
145,Slide Hampton,Count Basie
146,Slide Hampton,Lawrence Brown (jazz trombonist)
147,Slide Hampton,Buddy Johnson
148,Slide Hampton,Duke Ellington
149,Chico Hamilton,"http://dbpedia.org/resource/Arthur_Lee_""Red""_Smiley"
150,Chico Hamilton,John Lewis (pianist)
151,Chico Hamilton,Shadow Wilson
152,Chico Hamilton,Jesse Price (musician)
153,Chico Hamilton,Joe Comfort
154,Chico Hamilton,Quincy Jones
155,Chico Hamilton,Eric Dolphy
156,Chico Hamilton,Nat King Cole
157,Chico Hamilton,Charlie Christian
158,Chico Hamilton,Sonny Greer
159,Chico Hamilton,Lucky Thompson
160,Chico Hamilton,Dean Martin
161,Chico Hamilton,Cozy Cole
162,Chico Hamilton,Jimmy Rushing
163,Chico Hamilton,Frank Butler (musician)
164,Chico Hamilton,Slam Stewart
165,Chico Hamilton,Steve Potts (jazz musician)
166,Chico Hamilton,Tricky Sam Nanton
167,Chico Hamilton,Alan Dawson
168,Chico Hamilton,Erroll Garner
169,Chico Hamilton,Lester Young
170,Chico Hamilton,Claude Thornhill
171,Chico Hamilton,Helen Humes
172,Chico Hamilton,Lee Young
173,Chico Hamilton,Chick Webb
174,Chico Hamilton,Hampton Hawes
175,Chico Hamilton,Jim Hall (musician)
176,Chico Hamilton,John Coltrane
177,Chico Hamilton,Art Farmer
178,Chico Hamilton,Richie Powell
179,Chico Hamilton,Garnett Brown
180,Chico Hamilton,Jerome Richardson
181,Chico Hamilton,Dave Pell
182,Chico Hamilton,John Simmons (musician)
183,Chico Hamilton,Hale Smith
184,Chico Hamilton,Steve Turre
185,Chico Hamilton,Jon Hendricks
186,Chico Hamilton,Red Callender
187,Chico Hamilton,Joe Morello
188,Chico Hamilton,Norman Granz
189,Chico Hamilton,Bob Wills
190,Chico Hamilton,Slim Gaillard
191,Chico Hamilton,Larry Coryell
192,Chico Hamilton,Art Mardigan
193,Chico Hamilton,Dexter Gordon
194,Chico Hamilton,Dave Brubeck
195,Chico Hamilton,Arthur Blythe
196,Chico Hamilton,Curtis Counce
197,Chico Hamilton,Howard Rumsey
198,Chico Hamilton,Bill Berg (musician)
199,Chico Hamilton,Frank Sinatra
200,Chico Hamilton,Sam Brown (guitarist)
201,Chico Hamilton,Benny Golson
202,Chico Hamilton,Illinois Jacquet
203,Chico Hamilton,Ron Carter
204,Chico Hamilton,Lionel Hampton
205,Chico Hamilton,Howard McGhee
206,Chico Hamilton,Vi Redd
207,Chico Hamilton,Gene Krupa
208,Chico Hamilton,David Baker (composer)
209,Chico Hamilton,Charlie Barnet
210,Chico Hamilton,Jimmy Owens (musician)
211,Chico Hamilton,Paul Horn (musician)
212,Chico Hamilton,Flip Phillips
213,Chico Hamilton,Arthur Lee (musician)
214,Chico Hamilton,Sammy Davis Jr.
215,Chico Hamilton,Jimmy Cleveland
216,Chico Hamilton,Max Roach
217,Chico Hamilton,Elvin Jones
218,Chico Hamilton,George Van Eps
219,Chico Hamilton,Mercer Ellington
220,Chico Hamilton,Charles Mingus
221,Chico Hamilton,Grady Tate
222,Chico Hamilton,Mary Lou Williams
223,Chico Hamilton,Freddie Green
224,Chico Hamilton,Billy Eckstine
225,Chico Hamilton,Louis Armstrong
226,Chico Hamilton,Billy Higgins
227,Chico Hamilton,Art Blakey
228,Chico Hamilton,Jimmy Cheatham
229,Chico Hamilton,Jimmie Lunceford
230,Chico Hamilton,Charles Lloyd (jazz musician)
231,Chico Hamilton,Lena Horne
232,Chico Hamilton,Benny Carter
233,Chico Hamilton,Tony Bennett
234,Chico Hamilton,Arnie Lawrence
235,Chico Hamilton,George Duvivier
236,Chico Hamilton,Jay McShann
237,Chico Hamilton,Philly Joe Jones
238,Chico Hamilton,Shorty Rogers
239,Chico Hamilton,Buddy Rich
240,Chico Hamilton,Jimmy Blanton
241,Chico Hamilton,Gerald Wilson
242,Chico Hamilton,Albert Stinson
243,Chico Hamilton,George Benson
244,Chico Hamilton,Joe Newman (trumpeter)
245,Chico Hamilton,Billy Strayhorn
246,Chico Hamilton,Clark Terry
247,Chico Hamilton,Buddy Cole (musician)
248,Chico Hamilton,Johnny Hartman
249,Chico Hamilton,Benny Goodman
250,Chico Hamilton,Buddy Collette
251,Chico Hamilton,Elvis Presley
