"","x"
"1","Clark Terry"
"2","Johnny Griffin"
"3","Clark Terry"
"4","Quincy Jones"
"5","Clark Terry"
"6","Coleman Hawkins"
"7","Clark Terry"
"8","Lucky Thompson"
"9","Clark Terry"
"10","Neal Hefti"
"11","Clark Terry"
"12","Billie Holiday"
"13","Clark Terry"
"14","Snooky Young"
"15","Clark Terry"
"16","Ella Fitzgerald"
"17","Clark Terry"
"18","Lester Young"
"19","Clark Terry"
"20","Ben Webster"
"21","Clark Terry"
"22","John Levy (musician)"
"23","Clark Terry"
"24","Red Saunders (musician)"
"25","Clark Terry"
"26","Johnny Pate"
"27","Clark Terry"
"28","Joe Williams (jazz singer)"
"29","Clark Terry"
"30","Victor Sproles"
"31","Clark Terry"
"32","Budd Johnson"
"33","Clark Terry"
"34","Lionel Hampton"
"35","Clark Terry"
"36","http://dbpedia.org/resource/Willie_""The_Lion""_Smith"
"37","Clark Terry"
"38","Johnny Long (musician)"
"39","Clark Terry"
"40","Charlie Parker"
"41","Clark Terry"
"42","Charlie Barnet"
"43","Clark Terry"
"44","South Park Mexican"
"45","Clark Terry"
"46","Nick Cooper"
"47","Clark Terry"
"48","Freddie Green"
"49","Clark Terry"
"50","Billy Eckstine"
"51","Clark Terry"
"52","Earl Hines"
"53","Clark Terry"
"54","Lena Horne"
"55","Clark Terry"
"56","Melba Liston"
"57","Clark Terry"
"58","Gerald Wilson"
"59","Clark Terry"
"60","Ivie Anderson"
"61","Clark Terry"
"62","Roy Hargrove"
"63","Clark Terry"
"64","Buddy Bolden"
"65","Clark Terry"
"66","Andrew Kirk"
"67","Clark Terry"
"68","Sarah Vaughan"
"69","Clark Terry"
"70","Count Basie"
"71","Clark Terry"
"72","Nicholas Payton"
"73","Clark Terry"
"74","Sonny Cohn"
"75","Clark Terry"
"76","John Coltrane"
"77","Clark Terry"
"78","Buddy Tate"
"79","Clark Terry"
"80","Jo Jones"
"81","Clark Terry"
"82","Jimmy Jones (pianist)"
"83","Clark Terry"
"84","Duke Ellington"
"85","Lionel Hampton"
"86","Jabbo Smith"
"87","Lionel Hampton"
"88","Quincy Jones"
"89","Lionel Hampton"
"90","Coleman Hawkins"
"91","Lionel Hampton"
"92","Lester Young"
"93","Lionel Hampton"
"94","Lee Young"
"95","Lionel Hampton"
"96","Joe Williams (jazz singer)"
"97","Lionel Hampton"
"98","Ernie Royal"
"99","Lionel Hampton"
"100","Dexter Gordon"
"101","Lionel Hampton"
"102","Al Grey"
"103","Lionel Hampton"
"104","Frank Foster (musician)"
"105","Lionel Hampton"
"106","Illinois Jacquet"
"107","Lionel Hampton"
"108","Milt Buckner"
"109","Lionel Hampton"
"110","Louis Armstrong"
"111","Lionel Hampton"
"112","Lena Horne"
"113","Lionel Hampton"
"114","Teddy Wilson"
"115","Lionel Hampton"
"116","Stevie Wonder"
"117","Lionel Hampton"
"118","Johnny Hodges"
"119","Lionel Hampton"
"120","Dewey Redman"
"121","Lionel Hampton"
"122","Benny Goodman"
"123","Lionel Hampton"
"124","Glenn Miller"
"125","Lionel Hampton"
"126","Count Basie"
"127","Lionel Hampton"
"128","Junior Mance"
"129","Lionel Hampton"
"130","Buddy Tate"
"131","Lionel Hampton"
"132","Dinah Washington"
"133","Lionel Hampton"
"134","Harry Edison"
"135","Lionel Hampton"
"136","Duke Ellington"
"137","Marian McPartland"
"138","Art Tatum"
"139","Marian McPartland"
"140","Coleman Hawkins"
"141","Marian McPartland"
"142","Eddie Condon"
"143","Marian McPartland"
"144","Sidney Bechet"
"145","Marian McPartland"
"146","Wynton Marsalis"
"147","Marian McPartland"
"148","Roy Eldridge"
"149","Marian McPartland"
"150","Béla Fleck"
"151","Marian McPartland"
"152","Tommy Flanagan"
"153","Marian McPartland"
"154","Barbara Carroll"
"155","Marian McPartland"
"156","Billy Hart"
"157","Marian McPartland"
"158","Joe Williams (jazz singer)"
"159","Marian McPartland"
"160","Joe Morello"
"161","Marian McPartland"
"162","Oscar Peterson"
"163","Marian McPartland"
"164","Dave Brubeck"
"165","Marian McPartland"
"166","Ron Carter"
"167","Marian McPartland"
"168","Gene Krupa"
"169","Marian McPartland"
"170","Woody Herman"
"171","Marian McPartland"
"172","Grady Tate"
"173","Marian McPartland"
"174","Mary Lou Williams"
"175","Marian McPartland"
"176","Hazel Scott"
"177","Marian McPartland"
"178","Toshiko Akiyoshi"
"179","Marian McPartland"
"180","Louis Armstrong"
"181","Marian McPartland"
"182","Benny Carter"
"183","Marian McPartland"
"184","Stevie Wonder"
"185","Marian McPartland"
"186","Billy Strayhorn"
"187","Marian McPartland"
"188","Jimmy Dorsey"
"189","Marian McPartland"
"190","Benny Goodman"
"191","Marian McPartland"
"192","Michael Moore (saxophonist and clarinetist)"
"193","Marian McPartland"
"194","Bill Evans"
"195","Marian McPartland"
"196","Count Basie"
"197","Marian McPartland"
"198","Billy Taylor (jazz bassist)"
"199","Marian McPartland"
"200","Sidney De Paris"
"201","Marian McPartland"
"202","Trudy Pitts"
"203","Marian McPartland"
"204","Cecil Taylor"
"205","Marian McPartland"
"206","Duke Ellington"
"207","Slide Hampton"
"208","Johnny Griffin"
"209","Slide Hampton"
"210","Benny Powell"
"211","Slide Hampton"
"212","Quincy Jones"
"213","Slide Hampton"
"214","Bud Powell"
"215","Slide Hampton"
"216","Stan Getz"
"217","Slide Hampton"
"218","Joe Henderson"
"219","Slide Hampton"
"220","Jack Teagarden"
"221","Slide Hampton"
"222","Lee Morgan"
"223","Slide Hampton"
"224","Paquito D'Rivera"
"225","Slide Hampton"
"226","Benny Bailey"
"227","Slide Hampton"
"228","Freddie Hubbard"
"229","Slide Hampton"
"230","Dennis Mackrel"
"231","Slide Hampton"
"232","Wynton Kelly"
"233","Slide Hampton"
"234","Gil Evans"
"235","Slide Hampton"
"236","Carmell Jones"
"237","Slide Hampton"
"238","Don Sebesky"
"239","Slide Hampton"
"240","Dexter Gordon"
"241","Slide Hampton"
"242","Dave Brubeck"
"243","Slide Hampton"
"244","Dizzy Gillespie"
"245","Slide Hampton"
"246","Bill Watrous"
"247","Slide Hampton"
"248","Benny Golson"
"249","Slide Hampton"
"250","Leo Wright"
"251","Slide Hampton"
"252","Budd Johnson"
"253","Slide Hampton"
"254","Lionel Hampton"
"255","Slide Hampton"
"256","David Baker (composer)"
"257","Slide Hampton"
"258","Charlie Parker"
"259","Slide Hampton"
"260","Jimmy Owens (musician)"
"261","Slide Hampton"
"262","Kenny Clarke"
"263","Slide Hampton"
"264","Wes Montgomery"
"265","Slide Hampton"
"266","Woody Herman"
"267","Slide Hampton"
"268","Tommy Dorsey"
"269","Slide Hampton"
"270","Thelonious Monk"
"271","Slide Hampton"
"272","Trummy Young"
"273","Slide Hampton"
"274","Art Blakey"
"275","Slide Hampton"
"276","J. J. Johnson"
"277","Slide Hampton"
"278","Willie Maiden"
"279","Slide Hampton"
"280","Stevie Wonder"
"281","Slide Hampton"
"282","Melba Liston"
"283","Slide Hampton"
"284","Billy Strayhorn"
"285","Slide Hampton"
"286","Nat Adderley"
"287","Slide Hampton"
"288","Benny Goodman"
"289","Slide Hampton"
"290","Glenn Miller"
"291","Slide Hampton"
"292","Count Basie"
"293","Slide Hampton"
"294","Lawrence Brown (jazz trombonist)"
"295","Slide Hampton"
"296","Buddy Johnson"
"297","Slide Hampton"
"298","Duke Ellington"
"299","Chico Hamilton"
"300","http://dbpedia.org/resource/Arthur_Lee_""Red""_Smiley"
"301","Chico Hamilton"
"302","John Lewis (pianist)"
"303","Chico Hamilton"
"304","Shadow Wilson"
"305","Chico Hamilton"
"306","Jesse Price (musician)"
"307","Chico Hamilton"
"308","Joe Comfort"
"309","Chico Hamilton"
"310","Quincy Jones"
"311","Chico Hamilton"
"312","Eric Dolphy"
"313","Chico Hamilton"
"314","Nat King Cole"
"315","Chico Hamilton"
"316","Charlie Christian"
"317","Chico Hamilton"
"318","Sonny Greer"
"319","Chico Hamilton"
"320","Lucky Thompson"
"321","Chico Hamilton"
"322","Dean Martin"
"323","Chico Hamilton"
"324","Cozy Cole"
"325","Chico Hamilton"
"326","Jimmy Rushing"
"327","Chico Hamilton"
"328","Frank Butler (musician)"
"329","Chico Hamilton"
"330","Slam Stewart"
"331","Chico Hamilton"
"332","Steve Potts (jazz musician)"
"333","Chico Hamilton"
"334","Tricky Sam Nanton"
"335","Chico Hamilton"
"336","Alan Dawson"
"337","Chico Hamilton"
"338","Erroll Garner"
"339","Chico Hamilton"
"340","Lester Young"
"341","Chico Hamilton"
"342","Claude Thornhill"
"343","Chico Hamilton"
"344","Helen Humes"
"345","Chico Hamilton"
"346","Lee Young"
"347","Chico Hamilton"
"348","Chick Webb"
"349","Chico Hamilton"
"350","Hampton Hawes"
"351","Chico Hamilton"
"352","Jim Hall (musician)"
"353","Chico Hamilton"
"354","John Coltrane"
"355","Chico Hamilton"
"356","Art Farmer"
"357","Chico Hamilton"
"358","Richie Powell"
"359","Chico Hamilton"
"360","Garnett Brown"
"361","Chico Hamilton"
"362","Jerome Richardson"
"363","Chico Hamilton"
"364","Dave Pell"
"365","Chico Hamilton"
"366","John Simmons (musician)"
"367","Chico Hamilton"
"368","Hale Smith"
"369","Chico Hamilton"
"370","Steve Turre"
"371","Chico Hamilton"
"372","Jon Hendricks"
"373","Chico Hamilton"
"374","Red Callender"
"375","Chico Hamilton"
"376","Joe Morello"
"377","Chico Hamilton"
"378","Norman Granz"
"379","Chico Hamilton"
"380","Bob Wills"
"381","Chico Hamilton"
"382","Slim Gaillard"
"383","Chico Hamilton"
"384","Larry Coryell"
"385","Chico Hamilton"
"386","Art Mardigan"
"387","Chico Hamilton"
"388","Dexter Gordon"
"389","Chico Hamilton"
"390","Dave Brubeck"
"391","Chico Hamilton"
"392","Arthur Blythe"
"393","Chico Hamilton"
"394","Curtis Counce"
"395","Chico Hamilton"
"396","Howard Rumsey"
"397","Chico Hamilton"
"398","Bill Berg (musician)"
"399","Chico Hamilton"
"400","Frank Sinatra"
"401","Chico Hamilton"
"402","Sam Brown (guitarist)"
"403","Chico Hamilton"
"404","Benny Golson"
"405","Chico Hamilton"
"406","Illinois Jacquet"
"407","Chico Hamilton"
"408","Ron Carter"
"409","Chico Hamilton"
"410","Lionel Hampton"
"411","Chico Hamilton"
"412","Howard McGhee"
"413","Chico Hamilton"
"414","Vi Redd"
"415","Chico Hamilton"
"416","Gene Krupa"
"417","Chico Hamilton"
"418","David Baker (composer)"
"419","Chico Hamilton"
"420","Charlie Barnet"
"421","Chico Hamilton"
"422","Jimmy Owens (musician)"
"423","Chico Hamilton"
"424","Paul Horn (musician)"
"425","Chico Hamilton"
"426","Flip Phillips"
"427","Chico Hamilton"
"428","Arthur Lee (musician)"
"429","Chico Hamilton"
"430","Sammy Davis Jr."
"431","Chico Hamilton"
"432","Jimmy Cleveland"
"433","Chico Hamilton"
"434","Max Roach"
"435","Chico Hamilton"
"436","Elvin Jones"
"437","Chico Hamilton"
"438","George Van Eps"
"439","Chico Hamilton"
"440","Mercer Ellington"
"441","Chico Hamilton"
"442","Charles Mingus"
"443","Chico Hamilton"
"444","Grady Tate"
"445","Chico Hamilton"
"446","Mary Lou Williams"
"447","Chico Hamilton"
"448","Freddie Green"
"449","Chico Hamilton"
"450","Billy Eckstine"
"451","Chico Hamilton"
"452","Louis Armstrong"
"453","Chico Hamilton"
"454","Billy Higgins"
"455","Chico Hamilton"
"456","Art Blakey"
"457","Chico Hamilton"
"458","Jimmy Cheatham"
"459","Chico Hamilton"
"460","Jimmie Lunceford"
"461","Chico Hamilton"
"462","Charles Lloyd (jazz musician)"
"463","Chico Hamilton"
"464","Lena Horne"
"465","Chico Hamilton"
"466","Benny Carter"
"467","Chico Hamilton"
"468","Tony Bennett"
"469","Chico Hamilton"
"470","Arnie Lawrence"
"471","Chico Hamilton"
"472","George Duvivier"
"473","Chico Hamilton"
"474","Jay McShann"
"475","Chico Hamilton"
"476","Philly Joe Jones"
"477","Chico Hamilton"
"478","Shorty Rogers"
"479","Chico Hamilton"
"480","Buddy Rich"
"481","Chico Hamilton"
"482","Jimmy Blanton"
"483","Chico Hamilton"
"484","Gerald Wilson"
"485","Chico Hamilton"
"486","Albert Stinson"
"487","Chico Hamilton"
"488","George Benson"
"489","Chico Hamilton"
"490","Joe Newman (trumpeter)"
"491","Chico Hamilton"
"492","Billy Strayhorn"
"493","Chico Hamilton"
"494","Clark Terry"
"495","Chico Hamilton"
"496","Buddy Cole (musician)"
"497","Chico Hamilton"
"498","Johnny Hartman"
"499","Chico Hamilton"
"500","Benny Goodman"
"501","Chico Hamilton"
"502","Buddy Collette"
"503","Chico Hamilton"
"504","Elvis Presley"
"505","Chico Hamilton"
"506","Don Cherry (singer)"
"507","Chico Hamilton"
"508","Herb Jeffries"
"509","Chico Hamilton"
"510","Roy Haynes"
"511","Chico Hamilton"
"512","Sid Catlett"
"513","Chico Hamilton"
"514","Pony Poindexter"
"515","Chico Hamilton"
"516","Chet Baker"
"517","Chico Hamilton"
"518","Carson Smith"
"519","Chico Hamilton"
"520","Wyatt Ruther"
"521","Chico Hamilton"
"522","Jo Jones"
"523","Chico Hamilton"
"524","Anthony Williams"
"525","Chico Hamilton"
"526","Duke Ellington"
"527","Danny Barker"
"528","Kid Rena"
"529","Danny Barker"
"530","Eddie Durham"
"531","Danny Barker"
"532","Andy Gibson"
"533","Danny Barker"
"534","John Lewis (pianist)"
"535","Danny Barker"
"536","Spencer Williams"
"537","Danny Barker"
"538","Chester Zardis"
"539","Danny Barker"
"540","Coleman Hawkins"
"541","Danny Barker"
"542","Joe Robichaux"
"543","Danny Barker"
"544","Sidney Bechet"
"545","Danny Barker"
"546","Charlie Christian"
"547","Danny Barker"
"548","Sonny Greer"
"549","Danny Barker"
"550","Bunk Johnson"
"551","Danny Barker"
"552","Louis Nelson Delisle"
"553","Danny Barker"
"554","Zutty Singleton"
"555","Danny Barker"
"556","Cozy Cole"
"557","Danny Barker"
"558","Wynton Marsalis"
"559","Danny Barker"
"560","Hilton Jefferson"
"561","Danny Barker"
"562","Roy Eldridge"
"563","Danny Barker"
"564","Billie Holiday"
"565","Danny Barker"
"566","Doc Cheatham"
"567","Danny Barker"
"568","Luis Russell"
"569","Danny Barker"
"570","Billy Kyle"
"571","Danny Barker"
"572","Paul Barbarin"
"573","Danny Barker"
"574","Lawrence Lucie"
"575","Danny Barker"
"576","Ella Johnson"
"577","Danny Barker"
"578","Lester Young"
"579","Danny Barker"
"580","Thad Jones"
"581","Danny Barker"
"582","Ben Webster"
"583","Danny Barker"
"584","Chick Webb"
"585","Danny Barker"
"586","Pops Foster"
"587","Danny Barker"
"588","Jelly Roll Morton"
"589","Danny Barker"
"590","Carmen Mastren"
"591","Danny Barker"
"592","Tommy Benford"
"593","Danny Barker"
"594","Allan Reuss"
"595","Danny Barker"
"596","George Guesnon"
"597","Danny Barker"
"598","Chu Berry"
"599","Danny Barker"
"600","Blue Lu Barker"
"601","Danny Barker"
"602","Freddie Keppard"
"603","Danny Barker"
"604","Alphonse Picou"
"605","Danny Barker"
"606","Tyree Glenn"
"607","Danny Barker"
"608","Milt Jackson"
"609","Danny Barker"
"610","George Lewis (trombonist)"
"611","Danny Barker"
"612","Louis Barbarin"
"613","Danny Barker"
"614","Jonah Jones"
"615","Danny Barker"
"616","W. C. Clark"
"617","Danny Barker"
"618","Lee Blair"
"619","Danny Barker"
"620","Milt Hinton"
"621","Danny Barker"
"622","Johnny Williams (drummer)"
"623","Danny Barker"
"624","Harry White (trombonist)"
"625","Danny Barker"
"626","Buster Bailey"
"627","Danny Barker"
"628","Hank Jones"
"629","Danny Barker"
"630","Fats Domino"
"631","Danny Barker"
"632","Dizzy Gillespie"
"633","Danny Barker"
"634","Sam Brown (guitarist)"
"635","Danny Barker"
"636","That 1 Guy"
"637","Danny Barker"
"638","Isidore Barbarin"
"639","Danny Barker"
"640","Budd Johnson"
"641","Danny Barker"
"642","Red Allen (bluegrass)"
"643","Danny Barker"
"644","Johnny Dodds"
"645","Danny Barker"
"646","Lucien Barbarin"
"647","Danny Barker"
"648","Charlie Parker"
"649","Danny Barker"
"650","David Jones (jazz musician)"
"651","Danny Barker"
"652","Charlie Johnson (bandleader)"
"653","Danny Barker"
"654","Buck Clayton"
"655","Danny Barker"
"656","Harry Connick Jr."
"657","Danny Barker"
"658","Cab Calloway"
"659","Danny Barker"
"660","Elvin Jones"
"661","Danny Barker"
"662","Herb Morand"
"663","Danny Barker"
"664","J. Mayo Williams"
"665","Danny Barker"
"666","Charlie Shavers"
"667","Danny Barker"
"668","Bill Johnson (reed player)"
"669","Danny Barker"
"670","Les Paul"
"671","Danny Barker"
"672","Kid Howard"
"673","Danny Barker"
"674","Guy Kelly"
"675","Danny Barker"
"676","Lee Collins (musician)"
"677","Danny Barker"
"678","http://dbpedia.org/resource/Willie_""The_Lion""_Smith"
"679","Danny Barker"
