artist_url,Associated Artists,Associated Bands,Background,Birth Place,Birth Year,Death Place,Death Year,Genre,Instruments,Name
<http://dbpedia.org/resource/Clark_Terry>,"['Dizzy_Gillespie', 'Duke_Ellington', 'Charles_Mingus', 'Miles_Davis', 'Oscar_Peterson', 'Eddie_""Lockjaw""_Davis', 'Count_Basie', 'Quincy_Jones', 'Arturo_Sandoval', 'Wynton_Marsalis', 'Billy_Taylor', 'Dianne_Reeves', 'Lalo_Schifrin', 'Blue_Mitchell', 'Bob_Brookmeyer', 'Charlie_Barnet', 'Clifford_Brown', 'Milt_Jackson', 'J.J._Johnson', 'Yusef_Lateef', 'Oliver_Nelson', 'Terri_Lyne_Carrington']","['Dizzy_Gillespie', 'Duke_Ellington', 'Charles_Mingus', 'Miles_Davis', 'Oscar_Peterson', 'Eddie_""Lockjaw""_Davis', 'Count_Basie', 'Quincy_Jones', 'Arturo_Sandoval', 'Wynton_Marsalis', 'Billy_Taylor', 'Dianne_Reeves', 'Lalo_Schifrin', 'Blue_Mitchell', 'Bob_Brookmeyer', 'Charlie_Barnet', 'Clifford_Brown', 'Milt_Jackson', 'J.J._Johnson', 'Yusef_Lateef', 'Oliver_Nelson', 'Terri_Lyne_Carrington']",non_vocal_instrumentalist,"['St._Louis', 'St._Louis,_Missouri']",1920,"Pine_Bluff,_Arkansas",2015,"['Bebop', 'Jazz', 'Swing_(jazz_performance_style)', 'Hard_bop']",['Flugelhorn'],Clark Terry
<http://dbpedia.org/resource/Lionel_Hampton>,"['Benny_Goodman', 'Louis_Armstrong', 'Quincy_Jones', 'Teddy_Wilson', 'Gloria_Parker']","['Benny_Goodman', 'Louis_Armstrong', 'Quincy_Jones', 'Teddy_Wilson', 'Gloria_Parker']",solo_singer,"['Louisville,_Kentucky']",1908,New_York_City,2002,"['New_York_blues', 'Big_band_music', 'Swing_music', 'Mainstream_jazz']",['Vibraphone'],Lionel Hampton
<http://dbpedia.org/resource/Marian_McPartland>,,,non_vocal_instrumentalist,['Slough'],1918,"Port_Washington,_New_York",2013,"['Bebop', 'Cool_jazz', 'Post-bop', 'Swing_music', 'Mainstream_jazz']",['Piano'],Marian McPartland
<http://dbpedia.org/resource/Slide_Hampton>,,,non_vocal_instrumentalist,"['Jeannette,_Pennsylvania']",1932,,,['Jazz'],['Trombone'],Slide Hampton
<http://dbpedia.org/resource/Chico_Hamilton>,"['Duke_Ellington', 'Lionel_Hampton', 'Count_Basie', 'Dexter_Gordon']","['Duke_Ellington', 'Lionel_Hampton', 'Count_Basie', 'Dexter_Gordon']",non_vocal_instrumentalist,"['Los_Angeles', 'Los_Angeles,_California']",1921,New_York_City,2013,"['Cool_jazz', 'Boogaloo', 'Post-bop', 'Crossover_jazz', 'Soul-jazz', 'Jazz_funk', 'Jazz_fusion', 'Hard_bop', 'West_Coast_jazz', 'Free-jazz']",['Drum_kit'],Chico Hamilton
<http://dbpedia.org/resource/Danny_Barker>,"['Blue_Lu_Barker', 'Cab_Calloway', 'Fairview_Baptist_Church_Marching_Band']","['Blue_Lu_Barker', 'Cab_Calloway', 'Fairview_Baptist_Church_Marching_Band']",solo_singer,['New_Orleans'],1909,New_Orleans,1994,"['Jazz', 'Blues_music', 'Zydeco']","['Ukulele', 'Banjo', 'Guitar', 'Singing']",Danny Barker
<http://dbpedia.org/resource/Frank_Foster_%28musician%29>,,,non_vocal_instrumentalist,"['Cincinnati,_Ohio', 'Cincinnati']",1928,"Chesapeake,_Virginia",2011,['Jazz'],['Saxophone'],Frank Foster (musician)
<http://dbpedia.org/resource/Artie_Shaw>,,,non_vocal_instrumentalist,['New_York_City'],1910,"Thousand_Oaks,_California",2004,"['Big_band_music', 'Swing_music']",['Clarinet'],Artie Shaw
<http://dbpedia.org/resource/Jane_Jarvis>,,,non_vocal_instrumentalist,"['Vincennes,_Indiana']",1915,"Englewood,_New_Jersey",2010,['Jazz'],"['Piano, organ']",Jane Jarvis
<http://dbpedia.org/resource/Mary_Lou_Williams>,,,non_vocal_instrumentalist,"['Atlanta', 'Atlanta,_Georgia']",1910,"Durham,_North_Carolina",1981,"['Third_Stream', 'Gospel_music', 'Free_jazz', 'Classical_music', 'Big_band', 'Swing_music', 'Hard_bop']",['Piano'],Mary Lou Williams
<http://dbpedia.org/resource/Billy_Taylor_%28jazz_bassist%29>,,,,"['Washington,_D.C.']",1906,"Fairfax,_Virginia",1986,,,Billy Taylor (jazz bassist)
<http://dbpedia.org/resource/Benny_Powell>,,,,['New_Orleans'],1930,New_York_City,2010,,['Trombonist'],Benny Powell
<http://dbpedia.org/resource/Ron_Carter>,,,non_vocal_instrumentalist,"['Ferndale,_Michigan']",1937,,,['Jazz'],"['Electric_bass', 'Cello', 'Double_bass', 'Piccolo_bass']",Ron Carter
<http://dbpedia.org/resource/Buddy_Tate_%28musician%29>,,,non_vocal_instrumentalist,"['Sherman,_Texas']",1913,"Chandler,_Arizona",2001,"['Big_band_music', 'Swing_music']","['Clarinet', 'Saxophone']",Buddy Tate
<http://dbpedia.org/resource/Buster_Williams>,,,non_vocal_instrumentalist,"['United_States', 'Camden,_New_Jersey']",1942,,,"['Jazz_fusion', 'Mainstream_jazz', 'Post_bop', 'Hard_bop']",['Double_bass'],Buster Williams
<http://dbpedia.org/resource/Etta_Jones>,"['Leonard_Feather', 'Houston_Person', 'Dandridge_Sisters', 'Buddy_Johnson']","['Leonard_Feather', 'Houston_Person', 'Dandridge_Sisters', 'Buddy_Johnson']",solo_singer,"['United_States', 'Aiken,_South_Carolina']",1928,"Mount_Vernon,_New_York",2001,"['Jazz', 'Pop_music', 'Rhythm_and_blues']",['Human_voice'],Etta Jones
<http://dbpedia.org/resource/Herbie_Hancock>,"['Chick_Corea', 'The_Headhunters', 'Joni_Mitchell', 'Wayne_Shorter', 'Clark_Terry', 'Howard_Jones_(musician)', 'Jaco_Pastorius', 'Miles_Davis_Quintet', 'V.S.O.P._(group)']","['Chick_Corea', 'The_Headhunters', 'Joni_Mitchell', 'Wayne_Shorter', 'Clark_Terry', 'Howard_Jones_(musician)', 'Jaco_Pastorius', 'Miles_Davis_Quintet', 'V.S.O.P._(group)']",non_vocal_instrumentalist,"['United_States', 'Chicago', 'Illinois']",1940,,,"['Electro_(music)', 'Post-bop', 'Jazz', 'Classical_music', 'Jazz_fusion', 'Jazz-funk']","['Vocoder', 'Keytar', 'Digital_audio_workstation', 'Electric_piano', 'Fairlight_CMI', 'Clavinet', 'Keyboard_instruments']",Herbie Hancock
<http://dbpedia.org/resource/James_Moody_%28saxophonist%29>,"['Dizzy_Gillespie', 'Gil_Fuller', 'Johnny_Coles', 'Rufus_Reid', 'Jon_Faddis', 'Milt_Jackson', 'Eddie_Jefferson', 'Kenny_Barron', 'Todd_Coolman']","['Dizzy_Gillespie', 'Gil_Fuller', 'Johnny_Coles', 'Rufus_Reid', 'Jon_Faddis', 'Milt_Jackson', 'Eddie_Jefferson', 'Kenny_Barron', 'Todd_Coolman']",non_vocal_instrumentalist,"['Savannah,_Georgia']",1925,California,2010,['Jazz'],"['Flute', 'Saxophone']",James Moody (saxophonist)
<http://dbpedia.org/resource/Joe_Williams_%28jazz_singer%29>,"['Lionel_Hampton', 'Count_Basie']","['Lionel_Hampton', 'Count_Basie']",solo_singer,['Georgia_(U.S._state)'],1918,Nevada,1999,"['Traditional_pop', 'Blues', 'Jazz', 'Swing_music']",['Piano'],Joe Williams (jazz singer)
<http://dbpedia.org/resource/Milt_Hinton>,"['Benny_Goodman', 'Dizzy_Gillespie', 'Louis_Armstrong', 'Eddie_South', 'Cab_Calloway', 'Lionel_Hampton', 'Count_Basie', 'Branford_Marsalis', 'Zutty_Singleton', 'Clark_Terry', 'Hank_Jones', 'Art_Tatum', 'Jabbo_Smith']","['Benny_Goodman', 'Dizzy_Gillespie', 'Louis_Armstrong', 'Eddie_South', 'Cab_Calloway', 'Lionel_Hampton', 'Count_Basie', 'Branford_Marsalis', 'Zutty_Singleton', 'Clark_Terry', 'Hank_Jones', 'Art_Tatum', 'Jabbo_Smith']",non_vocal_instrumentalist,"['Vicksburg,_Mississippi', 'Mississippi']",1910,Queens,2000,"['Traditional_jazz', 'Pop_Music', 'Swing_Music']",['Double_bass'],Milt Hinton
<http://dbpedia.org/resource/Ray_Drummond>,,,,"['Brookline,_Massachusetts']",1946,,,,['Bassist'],Ray Drummond
<http://dbpedia.org/resource/Benny_Golson>,,,non_vocal_instrumentalist,"['United_States', 'Pennsylvania', 'Philadelphia']",1929,,,"['Bebop', 'Hard_Bop', 'Jazz']",['Tenor_saxophone'],Benny Golson
<http://dbpedia.org/resource/Buddy_DeFranco>,,,non_vocal_instrumentalist,"['Camden,_New_Jersey']",1923,"Panama_City,_Florida",2014,"['Bebop', 'Post-bop', 'Swing_music']",['Clarinet'],Buddy DeFranco
<http://dbpedia.org/resource/Dave_Brubeck>,"['Eugene_Wright', 'Paul_Desmond', 'Gerry_Mulligan', 'Joe_Morello']","['Eugene_Wright', 'Paul_Desmond', 'Gerry_Mulligan', 'Joe_Morello']",non_vocal_instrumentalist,"['Concord,_California']",1920,"Norwalk,_Connecticut",2012,"['Cool_jazz', 'Jazz', 'Third_stream', 'West_Coast_jazz']",['Piano'],Dave Brubeck
<http://dbpedia.org/resource/Bob_Haggart>,,,,['New_York_City'],1914,"Venice,_Florida",1998,,['Player'],Bob Haggart
<http://dbpedia.org/resource/Jimmy_Scott>,,,solo_singer,"['Cleveland', 'Ohio']",1925,Nevada,2014,['Jazz'],['Singing'],Jimmy Scott
<http://dbpedia.org/resource/J._J._Johnson>,,,non_vocal_instrumentalist,['Indianapolis'],1924,Indianapolis,2001,"['Bebop', 'Third_Stream', 'Jazz', 'Hard_bop']",['Trombone'],J. J. Johnson
<http://dbpedia.org/resource/Louie_Bellson>,"['Benny_Goodman', 'Duke_Ellington', 'Ella_Fitzgerald', 'Jimmy_Dorsey', 'Count_Basie', 'Harry_James', 'Tommy_Dorsey']","['Benny_Goodman', 'Duke_Ellington', 'Ella_Fitzgerald', 'Jimmy_Dorsey', 'Count_Basie', 'Harry_James', 'Tommy_Dorsey']",non_vocal_instrumentalist,"['Rock_Falls,_Illinois']",1924,Los_Angeles,2009,['Jazz'],['Drums'],Louie Bellson
<http://dbpedia.org/resource/Quincy_Jones>,"['Dizzy_Gillespie', 'The_Brothers_Johnson', 'Nikki_Yanofsky', 'Dinah_Washington', 'Sarah_Vaughan', 'Aaliyah', 'Frank_Sinatra', 'Eddie_Van_Halen', 'Lionel_Hampton', 'Michael_Jackson', 'Clark_Terry', 'Lesley_Gore', 'Ray_Charles', 'Toots_Thielemans', 'Nana_Mouskouri', 'Patti_Austin', 'Tamia', 'Dean_Martin', 'Tevin_Campbell', 'Trey_Songz', 'Caiphus_Semenya', 'Rod_Temperton']","['Dizzy_Gillespie', 'The_Brothers_Johnson', 'Nikki_Yanofsky', 'Dinah_Washington', 'Sarah_Vaughan', 'Aaliyah', 'Frank_Sinatra', 'Eddie_Van_Halen', 'Lionel_Hampton', 'Michael_Jackson', 'Clark_Terry', 'Lesley_Gore', 'Ray_Charles', 'Toots_Thielemans', 'Nana_Mouskouri', 'Patti_Austin', 'Tamia', 'Dean_Martin', 'Tevin_Campbell', 'Trey_Songz', 'Caiphus_Semenya', 'Rod_Temperton']",non_performing_personnel,"['Chicago', 'Chicago,_Illinois']",1933,,,"['Bossa_nova', 'Funk', 'Jazz', 'Pop_music', 'Rhythm_and_blues', 'Rock_and_roll', 'Big_band', 'Soul_music', 'Swing_music', 'Hip_hop_music']",['French_horn'],Quincy Jones
<http://dbpedia.org/resource/Melba_Liston>,,,non_vocal_instrumentalist,"['Kansas_City,_Missouri']",1926,"Inglewood,_California",1999,['Jazz'],['Trombone'],Melba Liston
<http://dbpedia.org/resource/Roy_Haynes>,"['Charlie_Parker', 'Sarah_Vaughan', 'Wardell_Gray', 'Lester_Young', 'Stan_Getz', 'Bud_Powell']","['Charlie_Parker', 'Sarah_Vaughan', 'Wardell_Gray', 'Lester_Young', 'Stan_Getz', 'Bud_Powell']",non_vocal_instrumentalist,"['United_States', 'Boston,_Massachusetts', 'Boston']",1925,,,"['Bebop', 'Jazz', 'Hard_bop']",['Drum_kit'],Roy Haynes
<http://dbpedia.org/resource/Gunther_Schuller>,"['Cincinnati_Symphony_Orchestra', 'Metropolitan_Opera']","['Cincinnati_Symphony_Orchestra', 'Metropolitan_Opera']",non_vocal_instrumentalist,"['Queens', 'New_York_City']",1925,Boston,2015,['Jazz'],['French_horn'],Gunther Schuller
<http://dbpedia.org/resource/Andy_Kirk>,,,,,,,,,,Andrew Kirk
<http://dbpedia.org/resource/Billy_Eckstine>,"['Charlie_Parker', 'Dizzy_Gillespie', 'Sarah_Vaughan']","['Charlie_Parker', 'Dizzy_Gillespie', 'Sarah_Vaughan']",solo_singer,"['United_States', 'Pittsburgh', 'Pittsburgh,_Pennsylvania']",1914,United_States,1993,['Jazz'],"['Vocals, valve trombone, trumpet, guitar']",Billy Eckstine
<http://dbpedia.org/resource/Johnny_Griffin>,"['Eddie_""Lockjaw""_Davis', 'Thelonious_Monk', 'The_Kenny_Clarke-Francy_Boland_Big_Band']","['Eddie_""Lockjaw""_Davis', 'Thelonious_Monk', 'The_Kenny_Clarke-Francy_Boland_Big_Band']",non_vocal_instrumentalist,['Chicago'],1928,France,2008,"['Bebop', 'Post-bop', 'Hard_bop']",['Tenor_saxophone'],Johnny Griffin
<http://dbpedia.org/resource/McCoy_Tyner>,"['John_Coltrane', 'Stanley_Turrentine', 'Wayne_Shorter', 'Joe_Henderson', 'Freddie_Hubbard', 'Hank_Mobley']","['John_Coltrane', 'Stanley_Turrentine', 'Wayne_Shorter', 'Joe_Henderson', 'Freddie_Hubbard', 'Hank_Mobley']",non_vocal_instrumentalist,['Philadelphia'],1938,,,"['Bebop', 'Cuban_jazz', 'Modal_jazz', 'Post-bop', 'Third_stream', 'Mainstream_jazz', 'Hard_bop']",['Piano'],McCoy Tyner
<http://dbpedia.org/resource/Roy_Eldridge>,['Charlie_Barnet'],['Charlie_Barnet'],non_vocal_instrumentalist,"['Pittsburgh', 'Pittsburgh,_Pennsylvania']",1911,"Valley_Stream,_New_York",1989,"['Jazz', 'Big_band', 'Swing_music']",['Trumpet'],Roy Eldridge
<http://dbpedia.org/resource/Sam_Rivers>,"['Bobby_Hutcherson', 'Cecil_Taylor', 'Miles_Davis', 'Barry_Altschul', 'Tony_Williams_(drummer)', 'Quincy_Jones', 'Tony_Hymas', 'Andrew_Hill', 'Anthony_Braxton', 'Dave_Holland', 'Larry_Young_(musician)', 'Don_Pullen', 'Jimmy_Lyons']","['Bobby_Hutcherson', 'Cecil_Taylor', 'Miles_Davis', 'Barry_Altschul', 'Tony_Williams_(drummer)', 'Quincy_Jones', 'Tony_Hymas', 'Andrew_Hill', 'Anthony_Braxton', 'Dave_Holland', 'Larry_Young_(musician)', 'Don_Pullen', 'Jimmy_Lyons']",non_vocal_instrumentalist,"['Oklahoma', 'El_Reno,_Oklahoma']",1923,"Orlando,_Florida",2011,"['Free_jazz', 'Jazz', 'Avant-garde_jazz']",['Bass_clarinet'],Sam Rivers
<http://dbpedia.org/resource/Gerald_Wiggins>,,,non_vocal_instrumentalist,"['New_York_City', 'New_York_(state)']",1922,Los_Angeles,2008,['Jazz'],"['Piano, organ']",Gerald Wiggins
<http://dbpedia.org/resource/Delfeayo_Marsalis>,,,non_vocal_instrumentalist,"['Louisiana', 'New_Orleans']",1965,,,['Jazz'],['Trombone'],Delfeayo Marsalis
<http://dbpedia.org/resource/Abbey_Lincoln>,,,solo_singer,"['Chicago', 'Chicago,_Illinois']",1930,New_York_City,2010,['Jazz'],['Vocals'],Abbey Lincoln
