,Artiste1,Artiste2
1,Sam Rivers,Alan Dawson
18,,Alan Dawson
62,Sam Rivers,Charlie Parker
92,Jimmy Scott,Charlie Parker
98,Doc Cheatham,Charlie Parker
100,Billy Eckstine,Charlie Parker
140,Roy Eldridge,Charlie Parker
174,Sam Rivers,B.B. King
214,Sam Rivers,Red Rodney
230,Roy Haynes,Red Rodney
233,Sam Rivers,Gigi Gryce
261,Sam Rivers,Chet Baker
326,Roy Haynes,Lester Young
369,Billy Eckstine,Quincy Jones
376,Billy Eckstine,Dizzy Gillespie
414,Billy Eckstine,Earl Hines
437,Billy Eckstine,Bobby Tucker
486,Benny Powell,Billy Eckstine
556,Roy Eldridge,Art Tatum
559,Oscar Peterson,Art Tatum
595,Sam Rivers,Oscar Peterson
603,Buddy DeFranco,Oscar Peterson
614,Herbie Hancock,Oscar Peterson
631,Oscar Peterson,Roy Eldridge
632,Roy Eldridge,Oscar Peterson
662,Oscar Peterson,Nat King Cole
676,Oscar Peterson,Ed Thigpen
688,Oscar Peterson,Norman Granz
695,Oscar Peterson,Clark Terry
718,Oscar Peterson,Count Basie
730,Oscar Peterson,Dizzy Gillespie
744,Oscar Peterson,Ben Webster
746,Oscar Peterson,Johnny Hodges
748,Oscar Peterson,Harry Carney
757,Oscar Peterson,Duke Ellington
778,Oscar Peterson,Coleman Hawkins
786,Oscar Peterson,Ella Fitzgerald
790,Oscar Peterson,Glenn Miller
808,Oscar Peterson,Cat Anderson
833,Sam Rivers,Bud Powell
844,Gerald Wiggins,Bud Powell
860,Sam Rivers,Ornette Coleman
899,Benny Powell,Ornette Coleman
910,Sam Rivers,Nat Pierce
947,Sam Rivers,Tadd Dameron
1000,Roy Eldridge,Coleman Hawkins
1035,Sam Rivers,Nat King Cole
1095,Ron Carter,Eric Dolphy
1156,Sam Rivers,Quincy Jones
1190,Sam Rivers,Jaki Byard
1253,Sam Rivers,Miles Davis
1314,Sam Rivers,Dizzy Gillespie
1886,McCoy Tyner,John Coltrane
1923,Roy Haynes,John Coltrane
1942,Jimmy Owens (musician),John Coltrane
2021,Buddy DeFranco,Dizzy Gillespie
2037,Doc Cheatham,Dizzy Gillespie
2057,Ron Carter,Dizzy Gillespie
2066,Benny Powell,Dizzy Gillespie
2085,Roy Eldridge,Dizzy Gillespie
2112,Slide Hampton,Dizzy Gillespie
2148,Melba Liston,Dizzy Gillespie
2200,Doc Cheatham,Wynton Marsalis
2207,Delfeayo Marsalis,Wynton Marsalis
2256,Herbie Hancock,Miles Davis
2304,Ron Carter,Miles Davis
2329,Charles McPherson (musician),Miles Davis
2334,Jimmy Owens (musician),Miles Davis
2376,Roy Eldridge,Billie Holiday
