"","x"
"1","Sam Rivers"
"2","Alan Dawson"
"3","Sam Rivers"
"4","Charlie Parker"
"5","Jimmy Scott"
"6","Charlie Parker"
"7","Doc Cheatham"
"8","Charlie Parker"
"9","Billy Eckstine"
"10","Charlie Parker"
"11","Roy Eldridge"
"12","Charlie Parker"
"13","Sam Rivers"
"14","B.B. King"
"15","Sam Rivers"
"16","Red Rodney"
"17","Roy Haynes"
"18","Red Rodney"
"19","Sam Rivers"
"20","Gigi Gryce"
"21","Sam Rivers"
"22","Chet Baker"
"23","Roy Haynes"
"24","Lester Young"
"25","Billy Eckstine"
"26","Quincy Jones"
"27","Billy Eckstine"
"28","Dizzy Gillespie"
"29","Billy Eckstine"
"30","Earl Hines"
"31","Billy Eckstine"
"32","Bobby Tucker"
"33","Benny Powell"
"34","Billy Eckstine"
"35","Roy Eldridge"
"36","Art Tatum"
"37","Oscar Peterson"
"38","Art Tatum"
"39","Sam Rivers"
"40","Oscar Peterson"
"41","Buddy DeFranco"
"42","Oscar Peterson"
"43","Herbie Hancock"
"44","Oscar Peterson"
"45","Oscar Peterson"
"46","Roy Eldridge"
"47","Roy Eldridge"
"48","Oscar Peterson"
"49","Oscar Peterson"
"50","Nat King Cole"
"51","Oscar Peterson"
"52","Ed Thigpen"
"53","Oscar Peterson"
"54","Norman Granz"
"55","Oscar Peterson"
"56","Clark Terry"
"57","Oscar Peterson"
"58","Count Basie"
"59","Oscar Peterson"
"60","Dizzy Gillespie"
"61","Oscar Peterson"
"62","Ben Webster"
"63","Oscar Peterson"
"64","Johnny Hodges"
"65","Oscar Peterson"
"66","Harry Carney"
"67","Oscar Peterson"
"68","Duke Ellington"
"69","Oscar Peterson"
"70","Coleman Hawkins"
"71","Oscar Peterson"
"72","Ella Fitzgerald"
"73","Oscar Peterson"
"74","Glenn Miller"
"75","Oscar Peterson"
"76","Cat Anderson"
"77","Sam Rivers"
"78","Bud Powell"
"79","Gerald Wiggins"
"80","Bud Powell"
"81","Sam Rivers"
"82","Ornette Coleman"
"83","Benny Powell"
"84","Ornette Coleman"
"85","Sam Rivers"
"86","Nat Pierce"
"87","Sam Rivers"
"88","Tadd Dameron"
"89","Roy Eldridge"
"90","Coleman Hawkins"
"91","Sam Rivers"
"92","Nat King Cole"
"93","Ron Carter"
"94","Eric Dolphy"
"95","Sam Rivers"
"96","Quincy Jones"
"97","Sam Rivers"
"98","Jaki Byard"
"99","Sam Rivers"
"100","Miles Davis"
"101","Sam Rivers"
"102","Dizzy Gillespie"
"103","McCoy Tyner"
"104","John Coltrane"
"105","Roy Haynes"
"106","John Coltrane"
"107","Jimmy Owens (musician)"
"108","John Coltrane"
"109","Buddy DeFranco"
"110","Dizzy Gillespie"
"111","Doc Cheatham"
"112","Dizzy Gillespie"
"113","Ron Carter"
"114","Dizzy Gillespie"
"115","Benny Powell"
"116","Dizzy Gillespie"
"117","Roy Eldridge"
"118","Dizzy Gillespie"
"119","Slide Hampton"
"120","Dizzy Gillespie"
"121","Melba Liston"
"122","Dizzy Gillespie"
"123","Doc Cheatham"
"124","Wynton Marsalis"
"125","Delfeayo Marsalis"
"126","Wynton Marsalis"
"127","Herbie Hancock"
"128","Miles Davis"
"129","Ron Carter"
"130","Miles Davis"
"131","Charles McPherson (musician)"
"132","Miles Davis"
"133","Jimmy Owens (musician)"
"134","Miles Davis"
"135","Roy Eldridge"
"136","Billie Holiday"
"137","Jimmy Owens (musician)"
"138","Thad Jones"
"139","Jimmy Scott"
"140","Lionel Hampton"
"141","Jane Jarvis"
"142","Lionel Hampton"
"143","Lionel Hampton"
"144","Louis Armstrong"
"145","Lionel Hampton"
"146","Benny Goodman"
"147","Lionel Hampton"
"148","Johnny Hodges"
"149","Lionel Hampton"
"150","Duke Ellington"
"151","Lionel Hampton"
"152","Dexter Gordon"
"153","Lionel Hampton"
"154","Milt Buckner"
"155","Lionel Hampton"
"156","Count Basie"
"157","Lionel Hampton"
"158","Lena Horne"
"159","Lionel Hampton"
"160","Al Grey"
"161","Ed Shaughnessy"
"162","Lionel Hampton"
"163","Jimmy Owens (musician)"
"164","Lionel Hampton"
"165","Roy Eldridge"
"166","Lionel Hampton"
"167","Slide Hampton"
"168","Lionel Hampton"
"169","Herbie Hancock"
"170","Ron Carter"
"171","Ron Carter"
"172","Herbie Hancock"
"173","Ron Carter"
"174","Chico Hamilton"
"175","Ron Carter"
"176","Dave Brubeck"
"177","Dave Brubeck"
"178","Ron Carter"
"179","Marian McPartland"
"180","Ron Carter"
"181","Jimmy Scott"
"182","Benny Goodman"
"183","Doc Cheatham"
"184","Benny Goodman"
"185","Gerald Wiggins"
"186","Benny Goodman"
"187","Marian McPartland"
"188","Benny Goodman"
"189","Roy Eldridge"
"190","Benny Goodman"
"191","Jane Jarvis"
"192","Fletcher Henderson"
