,Name,Area,Main_style,Main_instrument,Birth_decade
0,Clark Terry,MidWest,Bebop,"musician, composer",1920s
1,Lionel Hampton,New-York-City,Swing_music,vibraphone,1910s
2,Marian McPartland,New-York-City,Swing_music,Piano,1920s
3,Slide Hampton,NorthEast,Jazz,Trombone,1930s
4,Chico Hamilton,New-York-City,Hard_bop,Drums,1920s
5,Danny Barker,New-Orleans,Blues_music,Guitar,1910s
6,Frank Foster (musician),South,Jazz,Saxophone,1930s
7,Artie Shaw,New-York-City,Swing_music,Clarinet,1910s
8,Jane Jarvis,Chicago,Jazz,Piano,1920s
9,Mary Lou Williams,South,Swing_music,Piano,1910s
10,Billy Taylor (jazz bassist),South,,Other,1910s
11,Benny Powell,New-York-City,,Trombone,1930s
12,Ron Carter,Chicago,Jazz,Double Bass,1940s
13,Buddy Tate,West,Swing_music,Saxophone,1910s
14,Buster Williams,NorthEast,Hard_bop,Double Bass,1940s
15,Etta Jones,New-York-City,Rhythm_and_blues,Singer,1930s
16,Herbie Hancock,Chicago,Jazz_fusion,Piano,1940s
17,James Moody (saxophonist),West,Jazz,Saxophone,1920s
18,Joe Williams (jazz singer),West,Swing_music,Singer,1920s
19,Milt Hinton,South,Traditional_jazz,Double Bass,1910s
20,Ray Drummond,NorthEast,,Double Bass,1950s
21,Benny Golson,NorthEast,Bebop,Saxophone,1930s
22,Buddy DeFranco,South,Swing_music,Clarinet,1920s
23,Dave Brubeck,NorthEast,Cool_jazz,Piano,1920s
24,Bob Haggart,New-York-City,,player,1910s
25,Jimmy Scott,West,Jazz,Singer,1920s
26,J. J. Johnson,Chicago,Bebop,Trombone,1920s
27,Louie Bellson,Chicago,Jazz,Drums,1920s
28,Quincy Jones,Chicago,Swing_music,Other,1930s
29,Melba Liston,West,Jazz,Trombone,1930s
30,Roy Haynes,NorthEast,Bebop,Drums,1920s
31,Gunther Schuller,New-York-City,Jazz,composer,1920s
32,Andrew Kirk,,,Other,
33,Billy Eckstine,NorthEast,Jazz,Singer,1910s
34,Johnny Griffin,Chicago,Bebop,Saxophone,1930s
35,McCoy Tyner,,Bebop,Piano,1940s
36,Roy Eldridge,New-York-City,Swing_music,Trumpet,1910s
37,Sam Rivers,South,Avant-garde_jazz,Clarinet,1920s
38,Gerald Wiggins,New-York-City,Jazz,Other,1920s
39,Delfeayo Marsalis,South,Jazz,Trombone,1960s
40,Abbey Lincoln,New-York-City,Jazz,Singer,1930s
41,Yusef Lateef,NorthEast,Hard_bop,Piano,1920s
42,Phil Woods,NorthEast,Jazz,Saxophone,1930s
43,Benny Waters,South,,Saxophone,1900s
44,Ed Shaughnessy,NorthEast,Bebop,Drums,1930s
45,Eddie Marshall,,,Drums,1940s
46,Oscar Peterson,,Bebop,Piano,1920s
47,Harold Ousley,Chicago,,Saxophone,1930s
48,Doc Cheatham,South,Swing_music,Trumpet,1900s
49,Coleman Hawkins,MidWest,Swing_music,Saxophone,1900s
50,Lucky Thompson,South,Jazz,Other,1920s
51,Neal Hefti,MidWest,Swing_music,Trumpet,1920s
52,Billie Holiday,New-York-City,Swing_music,Singer,1920s
53,Snooky Young,West,Jazz,Trumpet,1920s
54,Ella Fitzgerald,West,,Singer,1920s
55,Lester Young,New-York-City,Jazz,Saxophone,1910s
56,Ben Webster,MidWest,Jazz,Saxophone,1910s
57,John Levy (musician),West,,Other,1910s
58,Red Saunders (musician),Chicago,,Drums,1910s
59,Johnny Pate,Chicago,Funk,Double Bass,1920s
60,Victor Sproles,Chicago,,Other,1930s
61,Budd Johnson,MidWest,,Saxophone,1910s
62,"http://dbpedia.org/resource/Willie_""The_Lion""_Smith",,,Other,
63,Johnny Long (musician),,Swing_music,Other,1910s
64,Charlie Parker,New-York-City,Bebop,"musician, composer",1920s
65,Charlie Barnet,New-York-City,Swing_music,Saxophone,1910s
66,South Park Mexican,,Hip_hop_music,Other,1970s
67,Nick Cooper,New-York-City,Funk,Drums,1970s
68,Freddie Green,South,Jazz,Guitar,1910s
69,Earl Hines,West,Big_band,Piano,1900s
70,Lena Horne,New-York-City,,Singer,1920s
71,Gerald Wilson,South,Popular_music,Trumpet,1920s
72,Ivie Anderson,West,Jazz,Singer,1900s
73,Roy Hargrove,South,Hard_bop,Trumpet,1970s
74,Buddy Bolden,South,Blues,cornet,1880s
75,Sarah Vaughan,West,Bebop,Singer,1920s
76,Count Basie,South,Swing_music,Piano,1900s
77,Nicholas Payton,,Jazz_fusion,player,1970s
78,Sonny Cohn,,Jazz,Trumpet,1920s
79,John Coltrane,New-York-City,Hard_bop,Saxophone,1930s
80,Jo Jones,New-York-City,Jazz,Drums,1910s
81,Jimmy Jones (pianist),South,,Piano,1920s
82,Duke Ellington,New-York-City,Swing_music,Piano,1900s
83,Jabbo Smith,New-York-City,Jazz,Other,1910s
84,Lee Young,,,Drums,1910s
85,Ernie Royal,New-York-City,,Trumpet,1920s
86,Dexter Gordon,NorthEast,Swing_music,Saxophone,1920s
87,Al Grey,West,Swing_music,Trombone,1920s
88,Illinois Jacquet,South,Swing_music,Saxophone,1920s
89,Milt Buckner,Chicago,Jazz,Piano,1920s
90,Louis Armstrong,New-York-City,,Trumpet,1900s
91,Teddy Wilson,NorthEast,Jazz,Piano,1910s
92,Stevie Wonder,Chicago,Rhythm_and_blues,Singer,1950s
93,Johnny Hodges,New-York-City,Swing_music,Saxophone,1910s
94,Dewey Redman,South,Post-bop,Saxophone,1930s
95,Benny Goodman,New-York-City,Swing_music,Clarinet,1910s
96,Glenn Miller,MidWest,Swing_music,Trombone,1900s
97,Junior Mance,Chicago,Hard_bop,Piano,1930s
98,Dinah Washington,South,Rhythm_and_blues,Singer,1920s
99,Harry Edison,MidWest,Swing_music,Trumpet,1920s
100,Art Tatum,MidWest,Stride_(music),Piano,1910s
101,Eddie Condon,New-York-City,Jazz,Guitar,1900s
102,Sidney Bechet,South,Dixieland,Piano,1900s
103,Wynton Marsalis,South,Jazz_fusion,Trumpet,1960s
104,Béla Fleck,New-York-City,,player,1960s
105,Tommy Flanagan,New-York-City,Bebop,Piano,1930s
106,Barbara Carroll,NorthEast,Jazz,Piano,1920s
107,Billy Hart,West,Jazz_fusion,Drums,1940s
108,Joe Morello,NorthEast,Cool_jazz,Drums,1930s
109,Gene Krupa,New-York-City,Swing_music,Drums,1910s
110,Woody Herman,West,Swing_music,Clarinet,1910s
111,Grady Tate,South,Bebop,Drums,1930s
112,Hazel Scott,,,jazz,1920s
113,Toshiko Akiyoshi,,Jazz,Piano,1930s
114,Benny Carter,New-York-City,Swing_music,Saxophone,1910s
115,Billy Strayhorn,New-York-City,Swing_music,Piano,1920s
116,Jimmy Dorsey,NorthEast,Swing_music,Trumpet,1900s
117,Michael Moore (saxophonist and clarinetist),,Avant-garde_jazz,Clarinet,1950s
118,Bill Evans,NorthEast,Post-bop,Piano,1930s
119,Sidney De Paris,New-York-City,,Trumpet,1900s
120,Trudy Pitts,NorthEast,Jazz,Singer,1930s
121,Cecil Taylor,New-York-City,Avant-garde_jazz,Piano,1930s
122,Bud Powell,New-York-City,Bebop,Piano,1920s
123,Stan Getz,West,Bebop,Saxophone,1930s
124,Joe Henderson,MidWest,Hard_bop,Saxophone,1940s
125,Jack Teagarden,New-Orleans,Jazz,Trombone,1900s
126,Lee Morgan,NorthEast,Bebop,Trumpet,1940s
127,Paquito D'Rivera,,Afro-Cuban_jazz,Saxophone,1950s
128,Benny Bailey,MidWest,Bebop,Other,1920s
129,Freddie Hubbard,Chicago,Bebop,Trumpet,1940s
130,Dennis Mackrel,,,Drums,1960s
131,Wynton Kelly,New-York-City,Jazz,Piano,1930s
132,Gil Evans,,Jazz_fusion,Piano,1910s
133,Carmell Jones,MidWest,Hard_bop,Trumpet,1940s
134,Don Sebesky,NorthEast,Big_band,Trombone,1940s
135,Dizzy Gillespie,NorthEast,Bebop,Trumpet,1920s
136,Bill Watrous,NorthEast,Jazz,Trombone,1940s
137,Leo Wright,South,Jazz,Clarinet,1930s
138,David Baker (composer),,,Other,1930s
139,Jimmy Owens (musician),,Jazz,Trumpet,1940s
140,Kenny Clarke,,Jazz,Drums,1910s
141,Wes Montgomery,Chicago,Hard_bop,Guitar,1920s
142,Tommy Dorsey,NorthEast,Swing_music,cornet,1900s
143,Thelonious Monk,NorthEast,Bebop,Piano,1920s
144,Trummy Young,South,Jazz,Trombone,1910s
145,Art Blakey,New-York-City,Bebop,Drums,1920s
146,Willie Maiden,,,Saxophone,1930s
147,Nat Adderley,South,Hard_bop,cornet,1930s
148,Lawrence Brown (jazz trombonist),West,Jazz,Trombone,1910s
149,Buddy Johnson,New-York-City,,jazz,1920s
150,"http://dbpedia.org/resource/Arthur_Lee_""Red""_Smiley",,,Other,
151,John Lewis (pianist),New-York-City,Jazz,Piano,1920s
152,Shadow Wilson,New-York-City,Jazz,Drums,1920s
153,Jesse Price (musician),,,Other,1910s
154,Joe Comfort,,,Double Bass,1920s
155,Eric Dolphy,West,Post-bop,Saxophone,1930s
156,Nat King Cole,West,Swing_music,Singer,1920s
